index,0,1,2
26457,0.13,0.25,0.62
26458,0.13,0.25,0.62
26459,0.13,0.25,0.62
26460,0.13,0.25,0.62
26461,0.13,0.25,0.62
26462,0.13,0.25,0.62
26463,0.13,0.25,0.62
26464,0.13,0.25,0.62
26465,0.13,0.25,0.62
26466,0.13,0.25,0.62
26467,0.13,0.25,0.62
26468,0.13,0.25,0.62
26469,0.13,0.25,0.62
26470,0.13,0.25,0.62
26471,0.13,0.25,0.62
26472,0.13,0.25,0.62
26473,0.13,0.25,0.62
26474,0.13,0.25,0.62
26475,0.13,0.25,0.62
26476,0.13,0.25,0.62
26477,0.13,0.25,0.62
26478,0.13,0.25,0.62
26479,0.13,0.25,0.62
26480,0.13,0.25,0.62
26481,0.13,0.25,0.62
26482,0.13,0.25,0.62
26483,0.13,0.25,0.62
26484,0.13,0.25,0.62
26485,0.13,0.25,0.62
26486,0.13,0.25,0.62
26487,0.13,0.25,0.62
26488,0.13,0.25,0.62
26489,0.13,0.25,0.62
26490,0.13,0.25,0.62
26491,0.13,0.25,0.62
26492,0.13,0.25,0.62
26493,0.13,0.25,0.62
26494,0.13,0.25,0.62
26495,0.13,0.25,0.62
26496,0.13,0.25,0.62
26497,0.13,0.25,0.62
26498,0.13,0.25,0.62
26499,0.13,0.25,0.62
26500,0.13,0.25,0.62
26501,0.13,0.25,0.62
26502,0.13,0.25,0.62
26503,0.13,0.25,0.62
26504,0.13,0.25,0.62
26505,0.13,0.25,0.62
26506,0.13,0.25,0.62
26507,0.13,0.25,0.62
26508,0.13,0.25,0.62
26509,0.13,0.25,0.62
26510,0.13,0.25,0.62
26511,0.13,0.25,0.62
26512,0.13,0.25,0.62
26513,0.13,0.25,0.62
26514,0.13,0.25,0.62
26515,0.13,0.25,0.62
26516,0.13,0.25,0.62
26517,0.13,0.25,0.62
26518,0.13,0.25,0.62
26519,0.13,0.25,0.62
26520,0.13,0.25,0.62
26521,0.13,0.25,0.62
26522,0.13,0.25,0.62
26523,0.13,0.25,0.62
26524,0.13,0.25,0.62
26525,0.13,0.25,0.62
26526,0.13,0.25,0.62
26527,0.13,0.25,0.62
26528,0.13,0.25,0.62
26529,0.13,0.25,0.62
26530,0.13,0.25,0.62
26531,0.13,0.25,0.62
26532,0.13,0.25,0.62
26533,0.13,0.25,0.62
26534,0.13,0.25,0.62
26535,0.13,0.25,0.62
26536,0.13,0.25,0.62
26537,0.13,0.25,0.62
26538,0.13,0.25,0.62
26539,0.13,0.25,0.62
26540,0.13,0.25,0.62
26541,0.13,0.25,0.62
26542,0.13,0.25,0.62
26543,0.13,0.25,0.62
26544,0.13,0.25,0.62
26545,0.13,0.25,0.62
26546,0.13,0.25,0.62
26547,0.13,0.25,0.62
26548,0.13,0.25,0.62
26549,0.13,0.25,0.62
26550,0.13,0.25,0.62
26551,0.13,0.25,0.62
26552,0.13,0.25,0.62
26553,0.13,0.25,0.62
26554,0.13,0.25,0.62
26555,0.13,0.25,0.62
26556,0.13,0.25,0.62
26557,0.13,0.25,0.62
26558,0.13,0.25,0.62
26559,0.13,0.25,0.62
26560,0.13,0.25,0.62
26561,0.13,0.25,0.62
26562,0.13,0.25,0.62
26563,0.13,0.25,0.62
26564,0.13,0.25,0.62
26565,0.13,0.25,0.62
26566,0.13,0.25,0.62
26567,0.13,0.25,0.62
26568,0.13,0.25,0.62
26569,0.13,0.25,0.62
26570,0.13,0.25,0.62
26571,0.13,0.25,0.62
26572,0.13,0.25,0.62
26573,0.13,0.25,0.62
26574,0.13,0.25,0.62
26575,0.13,0.25,0.62
26576,0.13,0.25,0.62
26577,0.13,0.25,0.62
26578,0.13,0.25,0.62
26579,0.13,0.25,0.62
26580,0.13,0.25,0.62
26581,0.13,0.25,0.62
26582,0.13,0.25,0.62
26583,0.13,0.25,0.62
26584,0.13,0.25,0.62
26585,0.13,0.25,0.62
26586,0.13,0.25,0.62
26587,0.13,0.25,0.62
26588,0.13,0.25,0.62
26589,0.13,0.25,0.62
26590,0.13,0.25,0.62
26591,0.13,0.25,0.62
26592,0.13,0.25,0.62
26593,0.13,0.25,0.62
26594,0.13,0.25,0.62
26595,0.13,0.25,0.62
26596,0.13,0.25,0.62
26597,0.13,0.25,0.62
26598,0.13,0.25,0.62
26599,0.13,0.25,0.62
26600,0.13,0.25,0.62
26601,0.13,0.25,0.62
26602,0.13,0.25,0.62
26603,0.13,0.25,0.62
26604,0.13,0.25,0.62
26605,0.13,0.25,0.62
26606,0.13,0.25,0.62
26607,0.13,0.25,0.62
26608,0.13,0.25,0.62
26609,0.13,0.25,0.62
26610,0.13,0.25,0.62
26611,0.13,0.25,0.62
26612,0.13,0.25,0.62
26613,0.13,0.25,0.62
26614,0.13,0.25,0.62
26615,0.13,0.25,0.62
26616,0.13,0.25,0.62
26617,0.13,0.25,0.62
26618,0.13,0.25,0.62
26619,0.13,0.25,0.62
26620,0.13,0.25,0.62
26621,0.13,0.25,0.62
26622,0.13,0.25,0.62
26623,0.13,0.25,0.62
26624,0.13,0.25,0.62
26625,0.13,0.25,0.62
26626,0.13,0.25,0.62
26627,0.13,0.25,0.62
26628,0.13,0.25,0.62
26629,0.13,0.25,0.62
26630,0.13,0.25,0.62
26631,0.13,0.25,0.62
26632,0.13,0.25,0.62
26633,0.13,0.25,0.62
26634,0.13,0.25,0.62
26635,0.13,0.25,0.62
26636,0.13,0.25,0.62
26637,0.13,0.25,0.62
26638,0.13,0.25,0.62
26639,0.13,0.25,0.62
26640,0.13,0.25,0.62
26641,0.13,0.25,0.62
26642,0.13,0.25,0.62
26643,0.13,0.25,0.62
26644,0.13,0.25,0.62
26645,0.13,0.25,0.62
26646,0.13,0.25,0.62
26647,0.13,0.25,0.62
26648,0.13,0.25,0.62
26649,0.13,0.25,0.62
26650,0.13,0.25,0.62
26651,0.13,0.25,0.62
26652,0.13,0.25,0.62
26653,0.13,0.25,0.62
26654,0.13,0.25,0.62
26655,0.13,0.25,0.62
26656,0.13,0.25,0.62
26657,0.13,0.25,0.62
26658,0.13,0.25,0.62
26659,0.13,0.25,0.62
26660,0.13,0.25,0.62
26661,0.13,0.25,0.62
26662,0.13,0.25,0.62
26663,0.13,0.25,0.62
26664,0.13,0.25,0.62
26665,0.13,0.25,0.62
26666,0.13,0.25,0.62
26667,0.13,0.25,0.62
26668,0.13,0.25,0.62
26669,0.13,0.25,0.62
26670,0.13,0.25,0.62
26671,0.13,0.25,0.62
26672,0.13,0.25,0.62
26673,0.13,0.25,0.62
26674,0.13,0.25,0.62
26675,0.13,0.25,0.62
26676,0.13,0.25,0.62
26677,0.13,0.25,0.62
26678,0.13,0.25,0.62
26679,0.13,0.25,0.62
26680,0.13,0.25,0.62
26681,0.13,0.25,0.62
26682,0.13,0.25,0.62
26683,0.13,0.25,0.62
26684,0.13,0.25,0.62
26685,0.13,0.25,0.62
26686,0.13,0.25,0.62
26687,0.13,0.25,0.62
26688,0.13,0.25,0.62
26689,0.13,0.25,0.62
26690,0.13,0.25,0.62
26691,0.13,0.25,0.62
26692,0.13,0.25,0.62
26693,0.13,0.25,0.62
26694,0.13,0.25,0.62
26695,0.13,0.25,0.62
26696,0.13,0.25,0.62
26697,0.13,0.25,0.62
26698,0.13,0.25,0.62
26699,0.13,0.25,0.62
26700,0.13,0.25,0.62
26701,0.13,0.25,0.62
26702,0.13,0.25,0.62
26703,0.13,0.25,0.62
26704,0.13,0.25,0.62
26705,0.13,0.25,0.62
26706,0.13,0.25,0.62
26707,0.13,0.25,0.62
26708,0.13,0.25,0.62
26709,0.13,0.25,0.62
26710,0.13,0.25,0.62
26711,0.13,0.25,0.62
26712,0.13,0.25,0.62
26713,0.13,0.25,0.62
26714,0.13,0.25,0.62
26715,0.13,0.25,0.62
26716,0.13,0.25,0.62
26717,0.13,0.25,0.62
26718,0.13,0.25,0.62
26719,0.13,0.25,0.62
26720,0.13,0.25,0.62
26721,0.13,0.25,0.62
26722,0.13,0.25,0.62
26723,0.13,0.25,0.62
26724,0.13,0.25,0.62
26725,0.13,0.25,0.62
26726,0.13,0.25,0.62
26727,0.13,0.25,0.62
26728,0.13,0.25,0.62
26729,0.13,0.25,0.62
26730,0.13,0.25,0.62
26731,0.13,0.25,0.62
26732,0.13,0.25,0.62
26733,0.13,0.25,0.62
26734,0.13,0.25,0.62
26735,0.13,0.25,0.62
26736,0.13,0.25,0.62
26737,0.13,0.25,0.62
26738,0.13,0.25,0.62
26739,0.13,0.25,0.62
26740,0.13,0.25,0.62
26741,0.13,0.25,0.62
26742,0.13,0.25,0.62
26743,0.13,0.25,0.62
26744,0.13,0.25,0.62
26745,0.13,0.25,0.62
26746,0.13,0.25,0.62
26747,0.13,0.25,0.62
26748,0.13,0.25,0.62
26749,0.13,0.25,0.62
26750,0.13,0.25,0.62
26751,0.13,0.25,0.62
26752,0.13,0.25,0.62
26753,0.13,0.25,0.62
26754,0.13,0.25,0.62
26755,0.13,0.25,0.62
26756,0.13,0.25,0.62
26757,0.13,0.25,0.62
26758,0.13,0.25,0.62
26759,0.13,0.25,0.62
26760,0.13,0.25,0.62
26761,0.13,0.25,0.62
26762,0.13,0.25,0.62
26763,0.13,0.25,0.62
26764,0.13,0.25,0.62
26765,0.13,0.25,0.62
26766,0.13,0.25,0.62
