index,0,1,2
26457,0.12,0.24,0.64
26458,0.12,0.24,0.64
26459,0.12,0.24,0.64
26460,0.12,0.24,0.64
26461,0.12,0.24,0.64
26462,0.12,0.24,0.64
26463,0.12,0.24,0.64
26464,0.12,0.24,0.64
26465,0.12,0.24,0.64
26466,0.12,0.24,0.64
26467,0.12,0.24,0.64
26468,0.12,0.24,0.64
26469,0.12,0.24,0.64
26470,0.12,0.24,0.64
26471,0.12,0.24,0.64
26472,0.12,0.24,0.64
26473,0.12,0.24,0.64
26474,0.12,0.24,0.64
26475,0.12,0.24,0.64
26476,0.12,0.24,0.64
26477,0.12,0.24,0.64
26478,0.12,0.24,0.64
26479,0.12,0.24,0.64
26480,0.12,0.24,0.64
26481,0.12,0.24,0.64
26482,0.12,0.24,0.64
26483,0.12,0.24,0.64
26484,0.12,0.24,0.64
26485,0.12,0.24,0.64
26486,0.12,0.24,0.64
26487,0.12,0.24,0.64
26488,0.12,0.24,0.64
26489,0.12,0.24,0.64
26490,0.12,0.24,0.64
26491,0.12,0.24,0.64
26492,0.12,0.24,0.64
26493,0.12,0.24,0.64
26494,0.12,0.24,0.64
26495,0.12,0.24,0.64
26496,0.12,0.24,0.64
26497,0.12,0.24,0.64
26498,0.12,0.24,0.64
26499,0.12,0.24,0.64
26500,0.12,0.24,0.64
26501,0.12,0.24,0.64
26502,0.12,0.24,0.64
26503,0.12,0.24,0.64
26504,0.12,0.24,0.64
26505,0.12,0.24,0.64
26506,0.12,0.24,0.64
26507,0.12,0.24,0.64
26508,0.12,0.24,0.64
26509,0.12,0.24,0.64
26510,0.12,0.24,0.64
26511,0.12,0.24,0.64
26512,0.12,0.24,0.64
26513,0.12,0.24,0.64
26514,0.12,0.24,0.64
26515,0.12,0.24,0.64
26516,0.12,0.24,0.64
26517,0.12,0.24,0.64
26518,0.12,0.24,0.64
26519,0.12,0.24,0.64
26520,0.12,0.24,0.64
26521,0.12,0.24,0.64
26522,0.12,0.24,0.64
26523,0.12,0.24,0.64
26524,0.12,0.24,0.64
26525,0.12,0.24,0.64
26526,0.12,0.24,0.64
26527,0.12,0.24,0.64
26528,0.12,0.24,0.64
26529,0.12,0.24,0.64
26530,0.12,0.24,0.64
26531,0.12,0.24,0.64
26532,0.12,0.24,0.64
26533,0.12,0.24,0.64
26534,0.12,0.24,0.64
26535,0.12,0.24,0.64
26536,0.12,0.24,0.64
26537,0.12,0.24,0.64
26538,0.12,0.24,0.64
26539,0.12,0.24,0.64
26540,0.12,0.24,0.64
26541,0.12,0.24,0.64
26542,0.12,0.24,0.64
26543,0.12,0.24,0.64
26544,0.12,0.24,0.64
26545,0.12,0.24,0.64
26546,0.12,0.24,0.64
26547,0.12,0.24,0.64
26548,0.12,0.24,0.64
26549,0.12,0.24,0.64
26550,0.12,0.24,0.64
26551,0.12,0.24,0.64
26552,0.12,0.24,0.64
26553,0.12,0.24,0.64
26554,0.12,0.24,0.64
26555,0.12,0.24,0.64
26556,0.12,0.24,0.64
26557,0.12,0.24,0.64
26558,0.12,0.24,0.64
26559,0.12,0.24,0.64
26560,0.12,0.24,0.64
26561,0.12,0.24,0.64
26562,0.12,0.24,0.64
26563,0.12,0.24,0.64
26564,0.12,0.24,0.64
26565,0.12,0.24,0.64
26566,0.12,0.24,0.64
26567,0.12,0.24,0.64
26568,0.12,0.24,0.64
26569,0.12,0.24,0.64
26570,0.12,0.24,0.64
26571,0.12,0.24,0.64
26572,0.12,0.24,0.64
26573,0.12,0.24,0.64
26574,0.12,0.24,0.64
26575,0.12,0.24,0.64
26576,0.12,0.24,0.64
26577,0.12,0.24,0.64
26578,0.12,0.24,0.64
26579,0.12,0.24,0.64
26580,0.12,0.24,0.64
26581,0.12,0.24,0.64
26582,0.12,0.24,0.64
26583,0.12,0.24,0.64
26584,0.12,0.24,0.64
26585,0.12,0.24,0.64
26586,0.12,0.24,0.64
26587,0.12,0.24,0.64
26588,0.12,0.24,0.64
26589,0.12,0.24,0.64
26590,0.12,0.24,0.64
26591,0.12,0.24,0.64
26592,0.12,0.24,0.64
26593,0.12,0.24,0.64
26594,0.12,0.24,0.64
26595,0.12,0.24,0.64
26596,0.12,0.24,0.64
26597,0.12,0.24,0.64
26598,0.12,0.24,0.64
26599,0.12,0.24,0.64
26600,0.12,0.24,0.64
26601,0.12,0.24,0.64
26602,0.12,0.24,0.64
26603,0.12,0.24,0.64
26604,0.12,0.24,0.64
26605,0.12,0.24,0.64
26606,0.12,0.24,0.64
26607,0.12,0.24,0.64
26608,0.12,0.24,0.64
26609,0.12,0.24,0.64
26610,0.12,0.24,0.64
26611,0.12,0.24,0.64
26612,0.12,0.24,0.64
26613,0.12,0.24,0.64
26614,0.12,0.24,0.64
26615,0.12,0.24,0.64
26616,0.12,0.24,0.64
26617,0.12,0.24,0.64
26618,0.12,0.24,0.64
26619,0.12,0.24,0.64
26620,0.12,0.24,0.64
26621,0.12,0.24,0.64
26622,0.12,0.24,0.64
26623,0.12,0.24,0.64
26624,0.12,0.24,0.64
26625,0.12,0.24,0.64
26626,0.12,0.24,0.64
26627,0.12,0.24,0.64
26628,0.12,0.24,0.64
26629,0.12,0.24,0.64
26630,0.12,0.24,0.64
26631,0.12,0.24,0.64
26632,0.12,0.24,0.64
26633,0.12,0.24,0.64
26634,0.12,0.24,0.64
26635,0.12,0.24,0.64
26636,0.12,0.24,0.64
26637,0.12,0.24,0.64
26638,0.12,0.24,0.64
26639,0.12,0.24,0.64
26640,0.12,0.24,0.64
26641,0.12,0.24,0.64
26642,0.12,0.24,0.64
26643,0.12,0.24,0.64
26644,0.12,0.24,0.64
26645,0.12,0.24,0.64
26646,0.12,0.24,0.64
26647,0.12,0.24,0.64
26648,0.12,0.24,0.64
26649,0.12,0.24,0.64
26650,0.12,0.24,0.64
26651,0.12,0.24,0.64
26652,0.12,0.24,0.64
26653,0.12,0.24,0.64
26654,0.12,0.24,0.64
26655,0.12,0.24,0.64
26656,0.12,0.24,0.64
26657,0.12,0.24,0.64
26658,0.12,0.24,0.64
26659,0.12,0.24,0.64
26660,0.12,0.24,0.64
26661,0.12,0.24,0.64
26662,0.12,0.24,0.64
26663,0.12,0.24,0.64
26664,0.12,0.24,0.64
26665,0.12,0.24,0.64
26666,0.12,0.24,0.64
26667,0.12,0.24,0.64
26668,0.12,0.24,0.64
26669,0.12,0.24,0.64
26670,0.12,0.24,0.64
26671,0.12,0.24,0.64
26672,0.12,0.24,0.64
26673,0.12,0.24,0.64
26674,0.12,0.24,0.64
26675,0.12,0.24,0.64
26676,0.12,0.24,0.64
26677,0.12,0.24,0.64
26678,0.12,0.24,0.64
26679,0.12,0.24,0.64
26680,0.12,0.24,0.64
26681,0.12,0.24,0.64
26682,0.12,0.24,0.64
26683,0.12,0.24,0.64
26684,0.12,0.24,0.64
26685,0.12,0.24,0.64
26686,0.12,0.24,0.64
26687,0.12,0.24,0.64
26688,0.12,0.24,0.64
26689,0.12,0.24,0.64
26690,0.12,0.24,0.64
26691,0.12,0.24,0.64
26692,0.12,0.24,0.64
26693,0.12,0.24,0.64
26694,0.12,0.24,0.64
26695,0.12,0.24,0.64
26696,0.12,0.24,0.64
26697,0.12,0.24,0.64
26698,0.12,0.24,0.64
26699,0.12,0.24,0.64
26700,0.12,0.24,0.64
26701,0.12,0.24,0.64
26702,0.12,0.24,0.64
26703,0.12,0.24,0.64
26704,0.12,0.24,0.64
26705,0.12,0.24,0.64
26706,0.12,0.24,0.64
26707,0.12,0.24,0.64
26708,0.12,0.24,0.64
26709,0.12,0.24,0.64
26710,0.12,0.24,0.64
26711,0.12,0.24,0.64
26712,0.12,0.24,0.64
26713,0.12,0.24,0.64
26714,0.12,0.24,0.64
26715,0.12,0.24,0.64
26716,0.12,0.24,0.64
26717,0.12,0.24,0.64
26718,0.12,0.24,0.64
26719,0.12,0.24,0.64
26720,0.12,0.24,0.64
26721,0.12,0.24,0.64
26722,0.12,0.24,0.64
26723,0.12,0.24,0.64
26724,0.12,0.24,0.64
26725,0.12,0.24,0.64
26726,0.12,0.24,0.64
26727,0.12,0.24,0.64
26728,0.12,0.24,0.64
26729,0.12,0.24,0.64
26730,0.12,0.24,0.64
26731,0.12,0.24,0.64
26732,0.12,0.24,0.64
26733,0.12,0.24,0.64
26734,0.12,0.24,0.64
26735,0.12,0.24,0.64
26736,0.12,0.24,0.64
26737,0.12,0.24,0.64
26738,0.12,0.24,0.64
26739,0.12,0.24,0.64
26740,0.12,0.24,0.64
26741,0.12,0.24,0.64
26742,0.12,0.24,0.64
26743,0.12,0.24,0.64
26744,0.12,0.24,0.64
26745,0.12,0.24,0.64
26746,0.12,0.24,0.64
26747,0.12,0.24,0.64
26748,0.12,0.24,0.64
26749,0.12,0.24,0.64
26750,0.12,0.24,0.64
26751,0.12,0.24,0.64
26752,0.12,0.24,0.64
26753,0.12,0.24,0.64
26754,0.12,0.24,0.64
26755,0.12,0.24,0.64
26756,0.12,0.24,0.64
26757,0.12,0.24,0.64
26758,0.12,0.24,0.64
26759,0.12,0.24,0.64
26760,0.12,0.24,0.64
26761,0.12,0.24,0.64
26762,0.12,0.24,0.64
26763,0.12,0.24,0.64
26764,0.12,0.24,0.64
26765,0.12,0.24,0.64
26766,0.12,0.24,0.64
26767,0.12,0.24,0.64
26768,0.12,0.24,0.64
26769,0.12,0.24,0.64
26770,0.12,0.24,0.64
26771,0.12,0.24,0.64
26772,0.12,0.24,0.64
26773,0.12,0.24,0.64
26774,0.12,0.24,0.64
26775,0.12,0.24,0.64
26776,0.12,0.24,0.64
26777,0.12,0.24,0.64
26778,0.12,0.24,0.64
26779,0.12,0.24,0.64
26780,0.12,0.24,0.64
26781,0.12,0.24,0.64
26782,0.12,0.24,0.64
26783,0.12,0.24,0.64
26784,0.12,0.24,0.64
26785,0.12,0.24,0.64
26786,0.12,0.24,0.64
26787,0.12,0.24,0.64
26788,0.12,0.24,0.64
26789,0.12,0.24,0.64
26790,0.12,0.24,0.64
26791,0.12,0.24,0.64
26792,0.12,0.24,0.64
26793,0.12,0.24,0.64
26794,0.12,0.24,0.64
26795,0.12,0.24,0.64
26796,0.12,0.24,0.64
26797,0.12,0.24,0.64
26798,0.12,0.24,0.64
26799,0.12,0.24,0.64
26800,0.12,0.24,0.64
26801,0.12,0.24,0.64
26802,0.12,0.24,0.64
26803,0.12,0.24,0.64
26804,0.12,0.24,0.64
26805,0.12,0.24,0.64
26806,0.12,0.24,0.64
26807,0.12,0.24,0.64
26808,0.12,0.24,0.64
26809,0.12,0.24,0.64
26810,0.12,0.24,0.64
26811,0.12,0.24,0.64
26812,0.12,0.24,0.64
26813,0.12,0.24,0.64
26814,0.12,0.24,0.64
26815,0.12,0.24,0.64
26816,0.12,0.24,0.64
26817,0.12,0.24,0.64
26818,0.12,0.24,0.64
26819,0.12,0.24,0.64
26820,0.12,0.24,0.64
26821,0.12,0.24,0.64
26822,0.12,0.24,0.64
26823,0.12,0.24,0.64
26824,0.12,0.24,0.64
26825,0.12,0.24,0.64
26826,0.12,0.24,0.64
26827,0.12,0.24,0.64
26828,0.12,0.24,0.64
26829,0.12,0.24,0.64
26830,0.12,0.24,0.64
26831,0.12,0.24,0.64
26832,0.12,0.24,0.64
26833,0.12,0.24,0.64
26834,0.12,0.24,0.64
26835,0.12,0.24,0.64
26836,0.12,0.24,0.64
26837,0.12,0.24,0.64
26838,0.12,0.24,0.64
26839,0.12,0.24,0.64
26840,0.12,0.24,0.64
26841,0.12,0.24,0.64
26842,0.12,0.24,0.64
26843,0.12,0.24,0.64
26844,0.12,0.24,0.64
26845,0.12,0.24,0.64
26846,0.12,0.24,0.64
26847,0.12,0.24,0.64
26848,0.12,0.24,0.64
26849,0.12,0.24,0.64
26850,0.12,0.24,0.64
26851,0.12,0.24,0.64
26852,0.12,0.24,0.64
26853,0.12,0.24,0.64
26854,0.12,0.24,0.64
26855,0.12,0.24,0.64
26856,0.12,0.24,0.64
26857,0.12,0.24,0.64
26858,0.12,0.24,0.64
26859,0.12,0.24,0.64
26860,0.12,0.24,0.64
26861,0.12,0.24,0.64
26862,0.12,0.24,0.64
26863,0.12,0.24,0.64
26864,0.12,0.24,0.64
26865,0.12,0.24,0.64
26866,0.12,0.24,0.64
26867,0.12,0.24,0.64
26868,0.12,0.24,0.64
26869,0.12,0.24,0.64
26870,0.12,0.24,0.64
26871,0.12,0.24,0.64
26872,0.12,0.24,0.64
26873,0.12,0.24,0.64
26874,0.12,0.24,0.64
26875,0.12,0.24,0.64
26876,0.12,0.24,0.64
26877,0.12,0.24,0.64
26878,0.12,0.24,0.64
26879,0.12,0.24,0.64
26880,0.12,0.24,0.64
26881,0.12,0.24,0.64
26882,0.12,0.24,0.64
26883,0.12,0.24,0.64
26884,0.12,0.24,0.64
26885,0.12,0.24,0.64
26886,0.12,0.24,0.64
26887,0.12,0.24,0.64
26888,0.12,0.24,0.64
26889,0.12,0.24,0.64
26890,0.12,0.24,0.64
26891,0.12,0.24,0.64
26892,0.12,0.24,0.64
26893,0.12,0.24,0.64
26894,0.12,0.24,0.64
26895,0.12,0.24,0.64
26896,0.12,0.24,0.64
26897,0.12,0.24,0.64
26898,0.12,0.24,0.64
26899,0.12,0.24,0.64
26900,0.12,0.24,0.64
26901,0.12,0.24,0.64
26902,0.12,0.24,0.64
26903,0.12,0.24,0.64
26904,0.12,0.24,0.64
26905,0.12,0.24,0.64
26906,0.12,0.24,0.64
26907,0.12,0.24,0.64
26908,0.12,0.24,0.64
26909,0.12,0.24,0.64
26910,0.12,0.24,0.64
26911,0.12,0.24,0.64
26912,0.12,0.24,0.64
26913,0.12,0.24,0.64
26914,0.12,0.24,0.64
26915,0.12,0.24,0.64
26916,0.12,0.24,0.64
26917,0.12,0.24,0.64
26918,0.12,0.24,0.64
26919,0.12,0.24,0.64
26920,0.12,0.24,0.64
26921,0.12,0.24,0.64
26922,0.12,0.24,0.64
26923,0.12,0.24,0.64
26924,0.12,0.24,0.64
26925,0.12,0.24,0.64
26926,0.12,0.24,0.64
26927,0.12,0.24,0.64
26928,0.12,0.24,0.64
26929,0.12,0.24,0.64
26930,0.12,0.24,0.64
26931,0.12,0.24,0.64
26932,0.12,0.24,0.64
26933,0.12,0.24,0.64
26934,0.12,0.24,0.64
26935,0.12,0.24,0.64
26936,0.12,0.24,0.64
26937,0.12,0.24,0.64
26938,0.12,0.24,0.64
26939,0.12,0.24,0.64
26940,0.12,0.24,0.64
26941,0.12,0.24,0.64
26942,0.12,0.24,0.64
26943,0.12,0.24,0.64
26944,0.12,0.24,0.64
26945,0.12,0.24,0.64
26946,0.12,0.24,0.64
26947,0.12,0.24,0.64
26948,0.12,0.24,0.64
26949,0.12,0.24,0.64
26950,0.12,0.24,0.64
26951,0.12,0.24,0.64
26952,0.12,0.24,0.64
26953,0.12,0.24,0.64
26954,0.12,0.24,0.64
26955,0.12,0.24,0.64
26956,0.12,0.24,0.64
26957,0.12,0.24,0.64
26958,0.12,0.24,0.64
26959,0.12,0.24,0.64
26960,0.12,0.24,0.64
26961,0.12,0.24,0.64
26962,0.12,0.24,0.64
26963,0.12,0.24,0.64
26964,0.12,0.24,0.64
26965,0.12,0.24,0.64
26966,0.12,0.24,0.64
26967,0.12,0.24,0.64
26968,0.12,0.24,0.64
26969,0.12,0.24,0.64
26970,0.12,0.24,0.64
26971,0.12,0.24,0.64
26972,0.12,0.24,0.64
26973,0.12,0.24,0.64
26974,0.12,0.24,0.64
26975,0.12,0.24,0.64
26976,0.12,0.24,0.64
26977,0.12,0.24,0.64
26978,0.12,0.24,0.64
26979,0.12,0.24,0.64
26980,0.12,0.24,0.64
26981,0.12,0.24,0.64
26982,0.12,0.24,0.64
26983,0.12,0.24,0.64
26984,0.12,0.24,0.64
26985,0.12,0.24,0.64
26986,0.12,0.24,0.64
26987,0.12,0.24,0.64
26988,0.12,0.24,0.64
26989,0.12,0.24,0.64
26990,0.12,0.24,0.64
26991,0.12,0.24,0.64
26992,0.12,0.24,0.64
26993,0.12,0.24,0.64
26994,0.12,0.24,0.64
26995,0.12,0.24,0.64
26996,0.12,0.24,0.64
26997,0.12,0.24,0.64
26998,0.12,0.24,0.64
26999,0.12,0.24,0.64
27000,0.12,0.24,0.64
27001,0.12,0.24,0.64
